FlightNumber,Airline,DepartureAirport,ArrivalAirport,ScheduledDepartureTime,ActualDepartureTime,DelayDuration,DelayCause,Date,PassengerImpact,FlightStatus
AS214,American Airlines,ORD,DFW,29-01-2025 04:00,29-01-2025 07:00,180.0,Weather,29-01-2025,Missed connections,Delayed
AA323,Delta Air Lines,MIA,JFK,13-03-2025 06:45,13-03-2025 07:30,45.0,Weather,13-03-2025,Moderate,Delayed
DL814,Southwest Airlines,DEN,ORD,20-01-2025 06:30,20-01-2025 08:00,90.0,Weather,20-01-2025,Missed connections,Delayed
JB370,American Airlines,SEA,PHX,16-01-2025 12:00,16-01-2025 13:00,60.0,Security,16-01-2025,Moderate,Delayed
AA146,Alaska Airlines,DFW,DEN,11-01-2025 07:00,11-01-2025 09:00,120.0,Crew,11-01-2025,Major impact,Delayed
DL786,United Airlines,LAX,DFW,10-03-2025 23:15,11-03-2025 00:45,90.0,Crew,10-03-2025,Major impact,Delayed
AS422,Delta Air Lines,SEA,SFO,24-04-2025 20:45,24-04-2025 21:00,15.0,Technical,24-04-2025,Minimal,Delayed
JB369,Alaska Airlines,PHX,SFO,25-04-2025 18:45,25-04-2025 19:00,15.0,Security,25-04-2025,Minimal,Delayed
AA981,American Airlines,ATL,DFW,12-04-2025 21:45,12-04-2025 23:15,90.0,Late Aircraft,12-04-2025,Missed connections,Delayed
JB208,Alaska Airlines,ORD,PHX,19-03-2025 06:15,19-03-2025 06:30,15.0,Security,19-03-2025,Minimal,Delayed
JB884,Delta Air Lines,ATL,MIA,12-03-2025 05:30,12-03-2025 07:00,90.0,Technical,12-03-2025,Major impact,Delayed
SW787,Alaska Airlines,DEN,MIA,26-04-2025 16:45,26-04-2025 17:15,30.0,Weather,26-04-2025,Moderate,Delayed
JB667,Delta Air Lines,PHX,DFW,01-01-2025 02:00,01-01-2025 02:05,5.0,Crew,01-01-2025,Minimal,Delayed
DL385,Alaska Airlines,SEA,DFW,11-03-2025 04:45,11-03-2025 06:45,120.0,Late Aircraft,11-03-2025,Major impact,Delayed
AS541,United Airlines,SFO,SEA,01-03-2025 23:00,01-03-2025 23:10,10.0,Weather,01-03-2025,Minimal,Delayed
UA919,American Airlines,DFW,ORD,25-01-2025 17:45,25-01-2025 18:00,15.0,Crew,25-01-2025,Minimal,Delayed
DL270,Southwest Airlines,SEA,MIA,28-01-2025 12:00,28-01-2025 12:05,5.0,Late Aircraft,28-01-2025,Minimal,Delayed
SW392,Southwest Airlines,MIA,SEA,20-01-2025 06:30,20-01-2025 06:35,5.0,Security,20-01-2025,Minimal,Delayed
